Year,Month,Day,Movement,UOM,Family,Material,Client,Region,Representative,Item,Sales_Quantity,Gross_Revenue,Net_Revenue,COGS,EBIT,Inventory,Price,Business_Unit
2010.0,5.0,24.0,0,0,0,0,81,14,23,2,40.0,299.46,207.91,157.76,50.15,315.52,7.49,1
2010.0,5.0,24.0,0,0,0,0,167,0,10,0,1760.0,10200.96,8136.49,5695.71,2440.78,11391.42,5.8,2
2010.0,5.0,24.0,0,0,0,0,13,11,10,0,5500.0,28297.5,22570.59,17799.1,4771.49,35598.2,5.15,2
2010.0,5.0,24.0,0,0,0,0,90,2,3,0,440.0,2656.5,2118.87,1423.93,694.94,2847.86,6.04,2
2010.0,5.0,24.0,0,0,0,0,34,2,17,0,1760.0,8962.8,7148.9,5695.71,1453.19,11391.42,5.09,2
2010.0,5.0,24.0,0,0,0,0,89,9,8,0,1100.0,6699.0,5343.25,3559.82,1783.43,7119.64,6.09,2
2010.0,5.0,24.0,0,0,0,0,66,13,10,0,3300.0,17498.25,13956.94,10679.46,3277.48,21358.92,5.3,2
2010.0,5.0,24.0,0,0,0,0,144,15,14,0,220.0,1761.77,1134.78,711.96,422.82,1423.92,8.01,2
2010.0,5.0,24.0,0,0,0,0,39,20,18,0,11440.0,70870.8,49103.34,37022.13,12081.21,74044.26,6.2,2
2010.0,5.0,24.0,0,0,0,0,41,20,18,0,16940.0,104943.3,72710.7,54821.23,17889.47,109642.46,6.2,2
2010.0,5.0,31.0,0,0,0,0,169,18,5,0,220.0,1501.5,1054.63,739.38,315.25,1478.76,6.83,0
2010.0,5.0,31.0,0,0,0,0,5,14,20,0,440.0,2753.52,2065.15,1434.62,630.53,2869.24,6.26,1
2010.0,5.0,31.0,0,0,0,0,69,19,1,0,2640.0,17269.56,12129.78,8607.72,3522.06,17215.44,6.54,1
2010.0,5.0,31.0,0,0,0,0,113,19,23,2,40.0,299.46,210.33,157.76,52.57,315.52,7.49,1
2010.0,5.0,31.0,0,0,0,0,151,19,23,2,40.0,332.71,218.89,157.76,61.13,315.52,8.32,1
2010.0,5.0,31.0,0,0,0,0,127,20,4,0,4400.0,27971.22,18085.65,14239.28,3846.37,28478.56,6.36,2
2010.0,5.0,31.0,0,0,0,0,29,20,18,0,440.0,2910.6,2016.63,1423.93,592.7,2847.86,6.62,2
2010.0,5.0,31.0,0,0,0,0,40,20,18,0,440.0,3557.4,2464.77,1423.93,1040.84,2847.86,8.09,2
2010.0,5.0,31.0,0,0,0,0,167,0,10,0,660.0,3825.36,3051.18,2135.89,915.29,4271.78,5.8,2
2010.0,5.0,31.0,0,0,0,0,3,20,4,0,7700.0,46246.2,32042.02,24918.74,7123.28,49837.48,6.01,2
2010.0,5.0,31.0,0,0,0,0,14,12,10,0,4400.0,25850.35,17319.5,14239.28,3080.22,28478.56,5.88,2
2010.0,5.0,31.0,0,0,0,0,136,12,10,0,1760.0,9609.6,7664.8,5695.71,1969.09,11391.42,5.46,2
2010.0,5.0,31.0,0,0,0,0,115,18,9,0,6600.0,38322.9,28742.17,21358.92,7383.25,42717.84,5.81,2
2010.0,5.0,31.0,0,0,0,0,34,2,17,0,1760.0,8962.8,7148.9,5695.71,1453.19,11391.42,5.09,2
2010.0,5.0,31.0,0,0,0,0,89,9,8,0,1100.0,6699.0,5343.25,3559.82,1783.43,7119.64,6.09,2
2010.0,5.0,31.0,0,0,0,0,66,13,10,0,2640.0,13998.6,11165.55,8543.57,2621.98,17087.14,5.3,2
2010.0,5.0,31.0,0,0,0,0,2,2,17,0,4400.0,23331.0,18609.25,14239.28,4369.97,28478.56,5.3,2
2010.0,5.0,31.0,0,0,0,0,39,20,18,0,20240.0,125386.8,86875.13,65500.69,21374.44,131001.38,6.2,2
2010.0,5.0,31.0,0,0,0,0,108,18,4,0,1100.0,6872.25,5154.18,3559.82,1594.36,7119.64,6.25,2
2010.0,6.0,7.0,0,0,0,0,5,14,20,0,440.0,2753.52,2065.14,1460.54,604.6,2921.08,6.26,1
